product_status,product_description,product_brand,product_url,product_price,product_site
See Details,GIGABYTE NVIDIA GeForce RTX 3080 GAMING OC 10GB GDDR6X PCI Express 4.0 Graphics Card,GIGABYTE,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3080-gaming-oc-10gb-gddr6x-pci-express-4-0-graphics-card/6430620.p?skuId=6430620,$839.99,bestbuy
Sold Out,GIGABYTE NVIDIA GeForce RTX 3060 Ti GAMING OC 8G GDDR6 PCI Express 4.0 Graphics Card Black,GIGABYTE,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3060-ti-gaming-oc-8g-gddr6-pci-express-4-0-graphics-card-black/6442484.p?skuId=6442484,$499.99,bestbuy
Sold Out,EVGA GeForce RTX 3070 XC3 BLACK GAMING 8GB GDDR6 PCI Express 4.0 Graphics Card,EVGA,https://www.bestbuy.com/site/evga-geforce-rtx-3070-xc3-black-gaming-8gb-gddr6-pci-express-4-0-graphics-card/6439300.p?skuId=6439300,$599.99,bestbuy
Sold Out,GIGABYTE NVIDIA GeForce RTX 3090 GAMING OC 24GB GDDR6X PCI Express 4.0 Graphics Card,GIGABYTE,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3090-gaming-oc-24gb-gddr6x-pci-express-4-0-graphics-card/6430623.p?skuId=6430623,"$1,699.99",bestbuy
Sold Out,EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6 PCI Express 4.0 Graphics Card,EVGA,https://www.bestbuy.com/site/evga-geforce-rtx-3080-ftw3-ultra-gaming-10gb-gddr6-pci-express-4-0-graphics-card/6436196.p?skuId=6436196,$879.99,bestbuy
Sold Out,GIGABYTE NVIDIA GeForce RTX 3090 AORUS MASTER 24GB GDDR6X PCI Express 4.0 Graphics Card,GIGABYTE,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3090-aorus-master-24gb-gddr6x-pci-express-4-0-graphics-card/6437910.p?skuId=6437910,"$1,799.99",bestbuy
Sold Out,EVGA NVIDIA GeForce RTX 3060 Ti FTW3 GAMING 8GB GDDR6 PCI Express 4.0 Graphics Card,EVGA,https://www.bestbuy.com/site/evga-nvidia-geforce-rtx-3060-ti-ftw3-gaming-8gb-gddr6-pci-express-4-0-graphics-card/6444449.p?skuId=6444449,$499.99,bestbuy
Coming Soon,EVGA GeForce RTX 3080 FTW3 GAMING 10GB GDDR6X PCI Express 4.0 Graphics Card,EVGA,https://www.bestbuy.com/site/evga-geforce-rtx-3080-ftw3-gaming-10gb-gddr6x-pci-express-4-0-graphics-card/6436191.p?skuId=6436191,$859.99,bestbuy
Sold Out,EVGA NVIDIA GeForce RTX 3060 Ti XC GAMING 8GB GDDR6 PCI Express 4.0 Graphics Card,EVGA,https://www.bestbuy.com/site/evga-nvidia-geforce-rtx-3060-ti-xc-gaming-8gb-gddr6-pci-express-4-0-graphics-card/6444445.p?skuId=6444445,$459.99,bestbuy
Coming Soon,EVGA GeForce RTX 3090 FTW3 GAMING 24GB GDDR6 PCI Express 4.0 Graphics Card,EVGA,https://www.bestbuy.com/site/evga-geforce-rtx-3090-ftw3-gaming-24gb-gddr6-pci-express-4-0-graphics-card/6436193.p?skuId=6436193,"$1,799.99",bestbuy
Sold Out,EVGA GeForce RTX 3080 XC3 BLACK GAMING 10GB GDDR6 PCI Express 4.0 Graphics Card,EVGA,https://www.bestbuy.com/site/evga-geforce-rtx-3080-xc3-black-gaming-10gb-gddr6-pci-express-4-0-graphics-card/6432399.p?skuId=6432399,$799.99,bestbuy
Sold Out,GIGABYTE NVIDIA GeForce RTX 3060 Ti EAGLE OC 8G GDDR6 PCI Express 4.0 Graphics Card Black,GIGABYTE,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3060-ti-eagle-oc-8g-gddr6-pci-express-4-0-graphics-card-black/6442485.p?skuId=6442485,$479.99,bestbuy
Sold Out,GIGABYTE NVIDIA GeForce RTX 3080 VISION OC 10GB GDDR6X PCI Express 4.0 Graphics Card,GIGABYTE,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3080-vision-oc-10gb-gddr6x-pci-express-4-0-graphics-card/6436219.p?skuId=6436219,$869.99,bestbuy
Sold Out,GIGABYTE NVIDIA GeForce RTX 3080 EAGLE OC 10GB GDDR6X PCI Express 4.0 Graphics Card,GIGABYTE,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3080-eagle-oc-10gb-gddr6x-pci-express-4-0-graphics-card/6430621.p?skuId=6430621,$799.99,bestbuy
Sold Out,GIGABYTE NVIDIA GeForce RTX 3080 AORUS MASTER 10GB GDDR6X PCI Express 4.0 Graphics Card,GIGABYTE,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3080-aorus-master-10gb-gddr6x-pci-express-4-0-graphics-card/6436223.p?skuId=6436223,$899.99,bestbuy
Sold Out,GIGABYTE NVIDIA GeForce RTX 3070 EAGLE 8GB GDDR6 PCI Express 4.0 Graphics Card,GIGABYTE,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070-eagle-8gb-gddr6-pci-express-4-0-graphics-card/6437912.p?skuId=6437912,$539.99,bestbuy
Sold Out,EVGA GeForce RTX 3080 XC3 GAMING 10GB GDDR6 PCI Express 4.0 Graphics Card,EVGA,https://www.bestbuy.com/site/evga-geforce-rtx-3080-xc3-gaming-10gb-gddr6-pci-express-4-0-graphics-card/6436194.p?skuId=6436194,$819.99,bestbuy
Sold Out,MSI NVIDIA Geforce RTX 3060 Ti VENTUS 2X OC BV 8GB GDDR6 PCI Express 4.0 Graphics Card Black,MSI,https://www.bestbuy.com/site/msi-nvidia-geforce-rtx-3060-ti-ventus-2x-oc-bv-8gb-gddr6-pci-express-4-0-graphics-card-black/6441172.p?skuId=6441172,$579.99,bestbuy
Sold Out,PNY GeForce RTX 3060 Ti 8GB UPRISING Dual Fan Graphics Card,PNY,https://www.bestbuy.com/site/pny-geforce-rtx-3060ti8gb-uprising-dual-fan-graphics-card/6446660.p?skuId=6446660,$621.99,bestbuy
Sold Out,PNY GeForce RTX 3080 10GB XLR8 Gaming EPIC-X RGB Triple Fan Graphics Card,PNY,https://www.bestbuy.com/site/pny-geforce-rtx-3080-10gb-xlr8-gaming-epic-x-rgb-triple-fan-graphics-card/6432655.p?skuId=6432655,$949.99,bestbuy
Sold Out,PNY GeForce RTX 3070 8GB XLR8 Gaming EPIC-X RGB Triple Fan Graphics Card,PNY,https://www.bestbuy.com/site/pny-geforce-rtx-3070-8gb-xlr8-gaming-epic-x-rgb-triple-fan-graphics-card/6432653.p?skuId=6432653,$679.99,bestbuy
Sold Out,EVGA GeForce RTX 3090 FTW3 ULTRA GAMING 24GB GDDR6 PCI Express 4.0 Graphics Card,EVGA,https://www.bestbuy.com/site/evga-geforce-rtx-3090-ftw3-ultra-gaming-24gb-gddr6-pci-express-4-0-graphics-card/6436192.p?skuId=6436192,"$1,869.99",bestbuy
Sold Out,PNY GeForce RTX 3080 10GB XLR8 Gaming EPIC-X RGB Triple Fan Graphics Card,PNY,https://www.bestbuy.com/site/pny-geforce-rtx-3080-10gb-xlr8-gaming-epic-x-rgb-triple-fan-graphics-card/6432658.p?skuId=6432658,"$1,099.99",bestbuy
Sold Out,PNY GeForce RTX 3070 8GB Dual Fan Graphics Card,PNY,https://www.bestbuy.com/site/pny-geforce-rtx-3070-8gb-dual-fan-graphics-card/6432654.p?skuId=6432654,$699.99,bestbuy
Sold Out,GIGABYTE NVIDIA GeForce RTX 3090 VISION 24G GDDR6 PCI Express 4.0 Graphics Card,GIGABYTE,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3090-vision-24g-gddr6-pci-express-4-0-graphics-card/6445108.p?skuId=6445108,"$1,749.99",bestbuy
Sold Out,GIGABYTE GeForce RTX 3090 EAGLE OC 24G GDDR6X PCI Express 4.0 Graphics Card Black,GIGABYTE,https://www.bestbuy.com/site/gigabyte-geforce-rtx-3090-eagle-oc-24g-gddr6x-pci-express-4-0-graphics-card-black/6430624.p?skuId=6430624,"$1,649.99",bestbuy
Sold Out,MSI NVIDIA Geforce RTX 3090 VENTUS 3X 24G OC BV 24GB GDDR6X PCI Express 4.0 Graphics Card Black/Silver,MSI,https://www.bestbuy.com/site/msi-nvidia-geforce-rtx-3090-ventus-3x-24g-oc-bv-24gb-gddr6x-pci-express-4-0-graphics-card-black-silver/6430215.p?skuId=6430215,"$2,119.99",bestbuy
Sold Out,PNY GeForce RTX 3090 24GB XLR8 Gaming EPIC-X RGB Triple Fan Graphics Card,PNY,https://www.bestbuy.com/site/pny-geforce-rtx-3090-24gb-xlr8-gaming-epic-x-rgb-triple-fan-graphics-card/6432656.p?skuId=6432656,"$2,049.99",bestbuy
Sold Out,PNY GeForce RTX 3090 24GB XLR8 Gaming EPIC-X RGB Triple Fan Graphics Card,PNY,https://www.bestbuy.com/site/pny-geforce-rtx-3090-24gb-xlr8-gaming-epic-x-rgb-triple-fan-graphics-card/6432657.p?skuId=6432657,"$2,149.99",bestbuy
